,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales
0,Candace Kane's Candy Factory,DS,2008,Action,Destineer,40000,0,0,0,40000
1,The Munchables,Wii,2009,Action,Namco Bandai Games,170000,0,0,10000,180000
2,Otome wa Oanesama Boku ni Koi Shiteru Portable,PSP,2010,Adventure,Alchemist,0,0,20000,0,20000
3,Deal or No Deal: Special Edition,DS,2010,Misc,Zoo Games,40000,0,0,0,40000
4,Ben 10 Ultimate Alien: Cosmic Destruction,PS3,2010,Platform,D3Publisher,120000,90000,0,40000,250000
5,Power Pro Kun Pocket 8,DS,2005,Sports,Konami Digital Entertainment,0,0,140000,0,140000
6,JASF: Jane's Advanced Strike Fighters,PC,2011,Simulation,Deep Silver,20000,10000,0,0,30000
7,Samurai Warriors: State of War,PSP,2005,Action,Tecmo Koei,70000,0,110000,10000,190000
8,Imabikisou,PS3,2007,Adventure,Sega,0,0,40000,0,40000
9,The Penguins of Madagascar: Dr. Blowhole Returns - Again!,PS3,2011,Action,THQ,40000,30000,0,10000,80000
10,Ford Racing,PS,2001,Racing,Empire Interactive,480000,330000,0,60000,870000
11,Harvest Moon: More Friends of Mineral Town,GBA,2003,Simulation,Ubisoft,140000,50000,0,0,190000
12,Mount & Blade,PC,2008,Role-Playing,Paradox Interactive,0,20000,0,0,20000
13,The Professor's Brain Trainer: Logic,DS,2005,Puzzle,505 Games,20000,0,0,0,20000
14,Zoids Dash,DS,2006,Role-Playing,Tomy Corporation,0,0,20000,0,20000
15,Mini Ninjas,PS3,2009,Action,Eidos Interactive,140000,160000,0,60000,360000
16,Rise of Nations,PC,2003,Strategy,Microsoft Game Studios,10000,20000,0,10000,40000
17,Hajime no Ippo: The Fighting! (2014),PS3,2014,Sports,Namco Bandai Games,0,0,30000,0,30000
18,Grand Kingdom,PS4,2015,Role-Playing,Nippon Ichi Software,20000,0,30000,0,50000
19,Tropico Reloaded,PC,2009,Strategy,Kalypso Media,0,20000,0,0,20000
20,Ty the Tasmanian Tiger,PS2,2002,Platform,Electronic Arts,570000,450000,0,150000,1170000
21,Ghost in the Shell,PS,1997,Simulation,Sony Computer Entertainment,60000,40000,0,10000,110000
22,Cabela's Dangerous Hunts 2,XB,2005,Sports,Activision,80000,20000,0,0,100000
23,Don Bradman Cricket 14,X360,2014,Sports,Tru Blu Entertainment,0,10000,0,0,10000
24,Injustice: Gods Among Us,PS3,2013,Fighting,Warner Bros. Interactive Entertainment,480000,530000,10000,230000,1250000
25,Dr. Muto,GC,2002,Platform,Midway Games,20000,10000,0,0,30000
26,Starwinder: The Ultimate Space Race,PS,1996,Racing,Mindscape,30000,20000,0,0,50000
27,World of Tanks,PC,2011,Shooter,Wargaming.net,0,230000,0,60000,290000
28,Famicom Mini: Makaimura,GBA,2004,Platform,Capcom,0,0,80000,0,80000
29,McGrath Vs. Pastrana Freestyle Motocross,PS,2000,Racing,Acclaim Entertainment,140000,100000,0,20000,260000
30,Kids Learn Music A+ Edition,DS,2011,Misc,Unknown,50000,0,0,0,50000
31,Rock Band,X360,2007,Rhythm,MTV Games,1930000,340000,0,210000,2480000
32,Project Sylpheed: Arc of Deception,X360,2006,Shooter,Microsoft Game Studios,120000,10000,20000,10000,160000
33,Mario & Luigi: Paper Jam & Mario Kart 7 Double Pack,3DS,2015,Misc,Nintendo,0,0,10000,0,10000
34,Mega Man Anniversary Collection,PS2,2004,Platform,Capcom,290000,220000,0,80000,590000
35,G-Force,Wii,2009,Action,Disney Interactive Studios,190000,200000,0,50000,440000
36,Advance Wars: Dual Strike,DS,2005,Strategy,Nintendo,300000,30000,40000,30000,400000
37,Beamrider,2600,1984,Racing,Activision,260000,10000,0,0,270000
38,Ninja Reflex,Wii,2008,Action,Electronic Arts,110000,10000,0,10000,130000
39,FIFA World Cup Germany 2006,XB,2006,Sports,Electronic Arts,180000,50000,0,10000,240000
40,Vagrant Story,PS,2000,Role-Playing,Crave Entertainment,300000,200000,300000,60000,860000
41,Knights of Honor,PC,2004,Strategy,Sunflowers,0,20000,0,10000,30000
42,Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,2007,Adventure,Capcom,330000,50000,250000,40000,670000
43,Shugo Chara! 3-tsu no Tamagoto Koisuru Joker,DS,2008,Action,Konami Digital Entertainment,0,0,50000,0,50000
44,Crysis 3,X360,2013,Shooter,Electronic Arts,510000,330000,10000,80000,930000
45,Resident Evil: Revelations 2,PS3,2015,Action,Capcom,60000,80000,160000,30000,330000
46,Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG,SAT,1998,Sports,Sega,0,0,120000,0,120000
47,Sega Soccer Slam,PS2,2002,Sports,Sega,60000,50000,0,20000,130000
48,Hellboy: The Science of Evil,PS3,2008,Action,Konami Digital Entertainment,130000,20000,0,20000,170000
49,Dreamworks Madagascar Kartz,X360,2009,Racing,Activision,140000,90000,0,20000,250000
50,Chaotic: Shadow Warriors,Wii,2009,Action,Activision,180000,0,0,10000,190000
51,Mega Man Xtreme 2,GB,2001,Platform,Capcom,0,0,70000,0,70000
52,IL-2 Sturmovik: Birds of Prey,PS3,2009,Simulation,505 Games,340000,260000,0,100000,700000
53,Rockin' Pretty,DS,2009,Misc,Arc System Works,50000,0,0,0,50000
54,SpongeBob's Boating Bash,Wii,2010,Misc,THQ,250000,70000,0,30000,350000
55,Sébastien Loeb Rally Evo,PS4,2016,Racing,Milestone S.r.l,0,40000,0,10000,50000
56,Sekai no Hate Made Itte Q! Chinjuu Hunter Mono no Daibouken,DS,2010,Misc,Kamui,0,0,30000,0,30000
57,Tony Hawk: Shred,Wii,2010,Sports,Activision,410000,110000,0,40000,560000
58,Bomberman,NES,1985,Puzzle,Hudson Soft,180000,0,850000,0,1030000
59,The Hustle: Detroit Streets,PS2,2006,Sports,Activision,20000,20000,0,10000,50000
60,Unreal Tournament III,X360,2008,Shooter,Midway Games,250000,170000,10000,50000,480000
61,NieR,X360,2010,Role-Playing,Square Enix,130000,100000,40000,20000,290000
62,Rango: The Video Game,Wii,2011,Action,Electronic Arts,80000,40000,0,10000,130000
63,SD Gundam Force,GBA,2004,Shooter,Namco Bandai Games,10000,0,0,0,10000
64,Virtua Fighter 3tb,DC,1998,Fighting,Sega,0,0,370000,0,370000
65,Kirby: Mass Attack,DS,2011,Platform,Nintendo,520000,60000,410000,50000,1040000
66,Exhibition Volume 5,XB,2004,Misc,Microsoft Game Studios,40000,10000,0,0,50000
67,Sherlock Holmes: Crimes & Punishments,PS4,2014,Adventure,Focus Home Interactive,80000,140000,0,50000,270000
68,NBA 2K11,PC,2010,Action,Take-Two Interactive,180000,0,0,10000,190000
69,Command & Conquer,N64,1999,Strategy,Nintendo,220000,50000,0,0,270000
70,Code Lyoko,DS,2007,Action,Game Factory,30000,10000,0,0,40000
71,Payday 2,XOne,2015,Shooter,505 Games,80000,70000,0,10000,160000
72,Teenage Mutant Ninja Turtles,XB,2003,Action,Konami Digital Entertainment,220000,60000,0,10000,290000
73,Deadliest Catch: Sea of Chaos,PS3,2010,Sports,Crave Entertainment,80000,0,0,10000,90000
74,Wrecking Crew,NES,1985,Platform,Nintendo,0,0,510000,0,510000
75,Buzz Lightyear of Star Command,PS,2000,Platform,Activision,350000,240000,0,40000,630000
76,Sudokuro,DS,2007,Puzzle,Crave Entertainment,100000,0,0,10000,110000
77,Yattaman Wii: BikkuriDokkiri Machine de Mou Race da Koron,Wii,2008,Racing,Takara Tomy,0,0,10000,0,10000
78,Dynasty Warriors Advance,GBA,2005,Action,Nintendo,80000,30000,0,0,110000
79,Mobile Suit Gundam: Perfect One Year War,PS,1997,Strategy,Namco Bandai Games,0,0,140000,10000,150000
80,Billy Hatcher and the Giant Egg,GC,2003,Platform,Sega,190000,50000,0,10000,250000
81,Tom and Jerry in Fists of Furry,N64,2000,Fighting,Ubisoft,130000,30000,0,0,160000
82,Resident Evil: Dead Aim,PS2,2003,Action,Capcom,170000,130000,0,40000,340000
83,Seiken Densetsu 3,SNES,1995,Role-Playing,SquareSoft,0,0,890000,0,890000
84,Spy vs Spy,XB,2005,Action,Global Star,80000,20000,0,0,100000
85,Harry Potter and the Deathly Hallows - Part 1,PS3,2010,Action,Electronic Arts,130000,210000,0,80000,420000
86,Bugs Bunny: Lost in Time,PS,1999,Platform,Infogrames,220000,150000,0,30000,400000
87,Tom Clancy's Ghost Recon: Predator,PSP,2010,Shooter,Ubisoft,70000,20000,0,20000,110000
88,Death Jr.,PSP,2005,Platform,Konami Digital Entertainment,170000,0,0,10000,180000
89,Disney Universe,Wii,2011,Action,Disney Interactive Studios,670000,300000,0,100000,1070000
90,Pac-Man and the Ghostly Adventures 2,PS3,2014,Adventure,Namco Bandai Games,50000,40000,0,20000,110000
91,Need for Speed Underground,PC,2003,Racing,Electronic Arts,0,40000,0,10000,50000
92,Robotron 64,N64,1998,Shooter,GT Interactive,70000,20000,0,0,90000
93,Gummy Bears Magical Medallion,Wii,2011,Platform,Storm City Games,20000,0,0,0,20000
94,Tony Hawk's Pro Skater 2,N64,2001,Sports,Activision,590000,160000,0,10000,760000
95,Red Steel 2,Wii,2010,Shooter,Ubisoft,360000,210000,10000,60000,640000
96,Romancing SaGa 2,SNES,1993,Role-Playing,SquareSoft,0,0,1170000,0,1170000
97,Samurai Warriors Chronicles 3,3DS,2014,Action,Tecmo Koei,0,0,80000,0,80000
98,Where's Waldo? The Fantastic Journey,Wii,2009,Adventure,Ubisoft,180000,0,0,10000,190000
99,Nobunaga no Yabou: Ranseiki,PS2,2002,Strategy,Tecmo Koei,0,0,130000,0,130000
100,The Guy Game,XB,2004,Misc,Gathering of Developers,50000,20000,0,0,70000
101,Metroid Prime Pinball,DS,2005,Misc,Nintendo,210000,0,20000,20000,250000
102,NCAA Football 08,XB,2007,Sports,Electronic Arts,60000,20000,0,0,80000
