,Name,Year,Genre,Publisher,Platform,Platform_Company,Device_Type,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales
0,Candace Kane's Candy Factory,2008,Action,Destineer,DS,Nintendo,HHC,40000,0,0,0,40000
1,The Munchables,2009,Action,Namco Bandai Games,Wii,Nintendo,Console,170000,0,0,10000,180000
2,Otome wa Oanesama Boku ni Koi Shiteru Portable,2010,Adventure,Alchemist,PSP,Sony,HHC,0,0,20000,0,20000
3,Deal or No Deal: Special Edition,2010,Misc,Zoo Games,DS,Nintendo,HHC,40000,0,0,0,40000
4,Ben 10 Ultimate Alien: Cosmic Destruction,2010,Platform,D3Publisher,PS3,Sony,Console,120000,90000,0,40000,250000
5,Power Pro Kun Pocket 8,2005,Sports,Konami Digital Entertainment,DS,Nintendo,HHC,0,0,140000,0,140000
6,JASF: Jane's Advanced Strike Fighters,2011,Simulation,Deep Silver,PC,PC,PC,20000,10000,0,0,30000
7,Samurai Warriors: State of War,2005,Action,Tecmo Koei,PSP,Sony,HHC,70000,0,110000,10000,190000
8,Imabikisou,2007,Adventure,Sega,PS3,Sony,Console,0,0,40000,0,40000
9,The Penguins of Madagascar: Dr. Blowhole Returns - Again!,2011,Action,THQ,PS3,Sony,Console,40000,30000,0,10000,80000
10,Ford Racing,2001,Racing,Empire Interactive,PS,Sony,Console,480000,330000,0,60000,870000
11,Harvest Moon: More Friends of Mineral Town,2003,Simulation,Ubisoft,GBA,Nintendo,HHC,140000,50000,0,0,190000
12,Mount & Blade,2008,RPG,Paradox Interactive,PC,PC,PC,0,20000,0,0,20000
13,The Professor's Brain Trainer: Logic,2005,Puzzle,505 Games,DS,Nintendo,HHC,20000,0,0,0,20000
14,Zoids Dash,2006,RPG,Tomy Corporation,DS,Nintendo,HHC,0,0,20000,0,20000
15,Mini Ninjas,2009,Action,Eidos Interactive,PS3,Sony,Console,140000,160000,0,60000,360000
16,Rise of Nations,2003,Strategy,Microsoft Game Studios,PC,PC,PC,10000,20000,0,10000,40000
17,Hajime no Ippo: The Fighting! (2014),2014,Sports,Namco Bandai Games,PS3,Sony,Console,0,0,30000,0,30000
18,Grand Kingdom,2015,RPG,Nippon Ichi Software,PS4,Sony,Console,20000,0,30000,0,50000
19,Tropico Reloaded,2009,Strategy,Kalypso Media,PC,PC,PC,0,20000,0,0,20000
20,Ty the Tasmanian Tiger,2002,Platform,Electronic Arts,PS2,Sony,Console,570000,450000,0,150000,1170000
21,Ghost in the Shell,1997,Simulation,Sony Computer Entertainment,PS,Sony,Console,60000,40000,0,10000,110000
22,Cabela's Dangerous Hunts 2,2005,Sports,Activision,XB,Microsoft,Console,80000,20000,0,0,100000
23,Don Bradman Cricket 14,2014,Sports,Tru Blu Entertainment,X360,Microsoft,Console,0,10000,0,0,10000
24,Injustice: Gods Among Us,2013,Fighting,Warner Bros. Interactive Entertainment,PS3,Sony,Console,480000,530000,10000,230000,1250000
25,Dr. Muto,2002,Platform,Midway Games,GC,Nintendo,Console,20000,10000,0,0,30000
26,Starwinder: The Ultimate Space Race,1996,Racing,Mindscape,PS,Sony,Console,30000,20000,0,0,50000
27,World of Tanks,2011,Shooter,Wargaming.net,PC,PC,PC,0,230000,0,60000,290000
28,Famicom Mini: Makaimura,2004,Platform,Capcom,GBA,Nintendo,HHC,0,0,80000,0,80000
29,McGrath Vs. Pastrana Freestyle Motocross,2000,Racing,Acclaim Entertainment,PS,Sony,Console,140000,100000,0,20000,260000
30,Kids Learn Music A+ Edition,2011,Misc,Unknown,DS,Nintendo,HHC,50000,0,0,0,50000
31,Rock Band,2007,Misc,MTV Games,X360,Microsoft,Console,1930000,340000,0,210000,2480000
32,Project Sylpheed: Arc of Deception,2006,Shooter,Microsoft Game Studios,X360,Microsoft,Console,120000,10000,20000,10000,160000
33,Mario & Luigi: Paper Jam & Mario Kart 7 Double Pack,2015,Misc,Nintendo,3DS,Nintendo,HHC,0,0,10000,0,10000
34,Mega Man Anniversary Collection,2004,Platform,Capcom,PS2,Sony,Console,290000,220000,0,80000,590000
35,G-Force,2009,Action,Disney Interactive Studios,Wii,Nintendo,Console,190000,200000,0,50000,440000
36,Advance Wars: Dual Strike,2005,Strategy,Nintendo,DS,Nintendo,HHC,300000,30000,40000,30000,400000
37,Beamrider,1984,Racing,Activision,2600,Atari,Console,260000,10000,0,0,270000
38,Ninja Reflex,2008,Action,Electronic Arts,Wii,Nintendo,Console,110000,10000,0,10000,130000
39,FIFA World Cup Germany 2006,2006,Sports,Electronic Arts,XB,Microsoft,Console,180000,50000,0,10000,240000
40,Vagrant Story,2000,RPG,Crave Entertainment,PS,Sony,Console,300000,200000,300000,60000,860000
41,Knights of Honor,2004,Strategy,Sunflowers,PC,PC,PC,0,20000,0,10000,30000
42,Phoenix Wright: Ace Attorney - Trials and Tribulations,2007,Adventure,Capcom,DS,Nintendo,HHC,330000,50000,250000,40000,670000
43,Shugo Chara! 3-tsu no Tamagoto Koisuru Joker,2008,Action,Konami Digital Entertainment,DS,Nintendo,HHC,0,0,50000,0,50000
44,Crysis 3,2013,Shooter,Electronic Arts,X360,Microsoft,Console,510000,330000,10000,80000,930000
45,Resident Evil: Revelations 2,2015,Action,Capcom,PS3,Sony,Console,60000,80000,160000,30000,330000
46,Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG,1998,Sports,Sega,SAT,SEGA,Console,0,0,120000,0,120000
47,Sega Soccer Slam,2002,Sports,Sega,PS2,Sony,Console,60000,50000,0,20000,130000
48,Hellboy: The Science of Evil,2008,Action,Konami Digital Entertainment,PS3,Sony,Console,130000,20000,0,20000,170000
49,Dreamworks Madagascar Kartz,2009,Racing,Activision,X360,Microsoft,Console,140000,90000,0,20000,250000
50,Chaotic: Shadow Warriors,2009,Action,Activision,Wii,Nintendo,Console,180000,0,0,10000,190000
51,Mega Man Xtreme 2,2001,Platform,Capcom,GB,Nintendo,HHC,0,0,70000,0,70000
52,IL-2 Sturmovik: Birds of Prey,2009,Simulation,505 Games,PS3,Sony,Console,340000,260000,0,100000,700000
53,Rockin' Pretty,2009,Misc,Arc System Works,DS,Nintendo,HHC,50000,0,0,0,50000
54,SpongeBob's Boating Bash,2010,Misc,THQ,Wii,Nintendo,Console,250000,70000,0,30000,350000
55,Sébastien Loeb Rally Evo,2016,Racing,Milestone S.r.l,PS4,Sony,Console,0,40000,0,10000,50000
56,Sekai no Hate Made Itte Q! Chinjuu Hunter Mono no Daibouken,2010,Misc,Kamui,DS,Nintendo,HHC,0,0,30000,0,30000
57,Tony Hawk: Shred,2010,Sports,Activision,Wii,Nintendo,Console,410000,110000,0,40000,560000
58,Bomberman,1985,Puzzle,Hudson Soft,NES,Nintendo,Console,180000,0,850000,0,1030000
59,The Hustle: Detroit Streets,2006,Sports,Activision,PS2,Sony,Console,20000,20000,0,10000,50000
60,Unreal Tournament III,2008,Shooter,Midway Games,X360,Microsoft,Console,250000,170000,10000,50000,480000
61,NieR,2010,RPG,Square Enix,X360,Microsoft,Console,130000,100000,40000,20000,290000
62,Rango: The Video Game,2011,Action,Electronic Arts,Wii,Nintendo,Console,80000,40000,0,10000,130000
63,SD Gundam Force,2004,Shooter,Namco Bandai Games,GBA,Nintendo,HHC,10000,0,0,0,10000
64,Virtua Fighter 3tb,1998,Fighting,Sega,DC,SEGA,Console,0,0,370000,0,370000
65,Kirby: Mass Attack,2011,Platform,Nintendo,DS,Nintendo,HHC,520000,60000,410000,50000,1040000
66,Exhibition Volume 5,2004,Misc,Microsoft Game Studios,XB,Microsoft,Console,40000,10000,0,0,50000
67,Sherlock Holmes: Crimes & Punishments,2014,Adventure,Focus Home Interactive,PS4,Sony,Console,80000,140000,0,50000,270000
68,NBA 2K11,2010,Action,Take-Two Interactive,PC,PC,PC,180000,0,0,10000,190000
69,Command & Conquer,1999,Strategy,Nintendo,N64,Nintendo,Console,220000,50000,0,0,270000
70,Code Lyoko,2007,Action,Game Factory,DS,Nintendo,HHC,30000,10000,0,0,40000
71,Payday 2,2015,Shooter,505 Games,XOne,Microsoft,Console,80000,70000,0,10000,160000
72,Teenage Mutant Ninja Turtles,2003,Action,Konami Digital Entertainment,XB,Microsoft,Console,220000,60000,0,10000,290000
73,Deadliest Catch: Sea of Chaos,2010,Sports,Crave Entertainment,PS3,Sony,Console,80000,0,0,10000,90000
74,Wrecking Crew,1985,Platform,Nintendo,NES,Nintendo,Console,0,0,510000,0,510000
75,Buzz Lightyear of Star Command,2000,Platform,Activision,PS,Sony,Console,350000,240000,0,40000,630000
76,Sudokuro,2007,Puzzle,Crave Entertainment,DS,Nintendo,HHC,100000,0,0,10000,110000
77,Yattaman Wii: BikkuriDokkiri Machine de Mou Race da Koron,2008,Racing,Takara Tomy,Wii,Nintendo,Console,0,0,10000,0,10000
78,Dynasty Warriors Advance,2005,Action,Nintendo,GBA,Nintendo,HHC,80000,30000,0,0,110000
79,Mobile Suit Gundam: Perfect One Year War,1997,Strategy,Namco Bandai Games,PS,Sony,Console,0,0,140000,10000,150000
80,Billy Hatcher and the Giant Egg,2003,Platform,Sega,GC,Nintendo,Console,190000,50000,0,10000,250000
81,Tom and Jerry in Fists of Furry,2000,Fighting,Ubisoft,N64,Nintendo,Console,130000,30000,0,0,160000
